"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2016,"D",95,"Grass","Agoseris heterophylla",71,29,10,0,10,95
2016,"D",95,"No Grass","Agoseris heterophylla",82,27,6,0,6,95
2016,"D",95,"Grass","Plantago erecta",44,25,2,0,4,84
2016,"D",95,"Grass","Clarkia purpurea",40,23,3,6,9,96
2016,"D",95,"No Grass","Hemizonia congesta",63,24,2,5,7,71
2016,"D",95,"No Grass","Lasthenia californica",4,4,1,1,2,54
2016,"D",95,"No Grass","Plantago erecta",54,25,4,0,4,84
2016,"D",95,"No Grass","Clarkia purpurea",21,19,5,3,8,96
2016,"C",96,"No Grass","Clarkia purpurea",20,20,0,1,1,96
2016,"C",96,"Grass","Clarkia purpurea",43,24,3,12,15,96
2016,"C",96,"No Grass","Hemizonia congesta",50,24,1,2,3,71
2016,"C",96,"No Grass","Agoseris heterophylla",88,39,13,0,13,95
2016,"C",96,"Grass","Agoseris heterophylla",64,44,24,0,24,95
2016,"C",96,"Grass","Hemizonia congesta",57,32,8,9,17,71
2016,"C",96,"No Grass","Lasthenia californica",7,7,0,1,1,54
2016,"C",96,"No Grass","Plantago erecta",32,22,2,0,2,84
2016,"C",96,"Grass","Lasthenia californica",3,3,0,0,0,54
2016,"C",96,"Grass","Plantago erecta",38,27,4,0,6,84
2016,"D",97,"Grass","Agoseris heterophylla",78,33,12,6,18,95
2016,"D",97,"No Grass","Lasthenia californica",4,4,0,1,1,54
2016,"D",97,"No Grass","Agoseris heterophylla",75,32,9,0,9,95
2016,"D",97,"Grass","Plantago erecta",38,28,7,0,8,84
2016,"D",97,"Grass","Clarkia purpurea",12,12,4,8,12,96
2016,"D",97,"Grass","Hemizonia congesta",54,22,2,4,6,71
2016,"D",97,"No Grass","Hemizonia congesta",66,27,8,1,9,71
2016,"D",97,"No Grass","Plantago erecta",45,24,4,1,5,84
2016,"D",97,"No Grass","Clarkia purpurea",35,24,15,4,19,96
2016,"D",97,"Grass","Lasthenia californica",6,6,0,5,5,54
2016,"C",98,"Grass","Agoseris heterophylla",87,29,9,0,9,95
2016,"C",98,"Grass","Plantago erecta",55,26,4,1,5,84
2016,"C",98,"No Grass","Hemizonia congesta",49,28,2,4,6,71
2016,"C",98,"No Grass","Agoseris heterophylla",95,36,16,1,17,95
2016,"C",98,"Grass","Clarkia purpurea",13,13,0,11,11,96
2016,"C",98,"Grass","Lasthenia californica",7,7,0,4,4,54
